2076	1952
2086	1953
2071	1952
2095	1952
2076	1953
2085	1951
2090	1955
2089	1951
2067	1949
2067	1947
2093	1947
2080	1954
2075	1950
2100	1955
2081	1951
2091	1954
2089	1947
2079	1954
2065	1952
2076	1949
2103	1950
2079	1950
2070	1947
2079	1946
2097	1947
2084	1951
2081	1949
2082	1952
2067	1952
2070	1953
2066	1950
2091	1947
2079	1950
2069	1955
2063	1952
2077	1947
2088	1952
2073	1953
2092	1953
2073	1954
2044	1948
2078	1960
2085	1953
2085	1945
2074	1841
2066	376
2091	309
2083	363
2031	547
537	645
417	983
551	1843
617	1917
662	1949
735	1953
865	1951
1035	1957
1169	1950
1310	1952
1698	1948
1953	1948
1993	1950
2006	1950
2019	1946
2047	1956
2058	1956
2052	1947
2039	1948
2033	1956
2049	1962
2023	1954
2047	1951
2043	1951
2034	1946
2011	1952
1979	1953
1826	1953
1332	1945
1069	1954
883	1953
721	1950
585	1950
419	1932
371	1902
388	1618
1503	424
2089	320
2069	345
2077	441
2088	720
2061	1775
2068	1910
2088	1943
2086	1948
2088	1944
2074	1953
2071	1949
2081	1950
2081	1944
2076	1954
2075	1947
2073	1947
2083	1953
2075	1952
2084	1951
2074	1954
2070	1953
2082	1955
2084	1953
2077	1950
2087	1947
2067	1954
2068	1951
2079	1956
2077	1944
2082	1951
2078	1950
2075	1952
2094	1961
2066	1954
2078	1950
2084	1951
2076	1954
2082	1947
2077	1952
2068	1941
2072	1952
2078	1940
2074	1888
2061	1194
2049	555
2090	446
2079	491
1933	627
408	806
359	1794
412	1878
570	1919
639	1939
687	1945
767	1946
898	1950
1049	1953
1147	1949
1249	1951
1361	1952
1447	1950
1786	1949
1941	1951
1987	1954
1999	1954
2025	1953
2018	1948
2032	1955
2008	1950
2016	1953
1996	1948
1930	1948
1802	1948
1416	1950
1080	1950
886	1950
721	1953
569	1944
427	1931
401	1892
542	583
1662	327
2080	394
2090	575
2085	615
2079	1131
2080	1900
2083	1943
2070	1952
2064	1951
2077	1947
2083	1948
2087	1956
2062	1953
2088	1950
2063	1955
2086	1948
2096	1957
2099	1953
2062	1958
2074	1951
2076	1951
2078	1952
2050	1951
2080	1951
2060	1951
2081	1949
2083	1952
2091	1952
2075	1951
2084	1955
2067	1946
2086	1950
2082	1952
2100	1952
2093	1947
2091	1948
2093	1950
2070	1958
2046	1952
2074	1950
2082	1951
2088	1948
2067	1955
2077	1948
2073	1950
2075	1958
2061	1945
2076	1387
2085	441
2087	318
2069	438
2035	602
665	695
403	1113
494	1836
596	1905
646	1939
696	1942
792	1953
948	1957
1138	1952
1309	1950
1830	1957
1990	1953
2038	1956
2064	1950
2050	1952